"subject" "activity" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyAccMag-mean" "tGravityAccMag-mean" "tBodyAccJerkMag-mean" "tBodyGyroMag-mean" "tBodyGyroJerkMag-mean" "tBodyAcc-std-X" "tBodyAcc-std-Y" "tBodyAcc-std-Z" "tGravityAcc-std-X" "tGravityAcc-std-Y" "tGravityAcc-std-Z" "tBodyAccJerk-std-X" "tBodyAccJerk-std-Y" "tBodyAccJerk-std-Z" "tBodyGyro-std-X" "tBodyGyro-std-Y" "tBodyGyro-std-Z" "tBodyGyroJerk-std-X" "tBodyGyroJerk-std-Y" "tBodyGyroJerk-std-Z" "tBodyAccMag-std" "tGravityAccMag-std" "tBodyAccJerkMag-std" "tBodyGyroMag-std" "tBodyGyroJerkMag-std"
"11" 11 "LAYING" 0.270414241052632 -0.0158638199666667 -0.106097202 0.573815799122807 0.127668578894737 0.235290292049123 0.106521011619298 0.00660637572280702 -0.0125571586492982 -0.0119758504385965 -0.0884544632315789 0.0729520017263158 -0.10635757354386 -0.0385722603508772 -0.0620225828473684 -0.638353869614035 -0.638353869614035 -0.718971832508772 -0.703103323947368 -0.8060475 -0.678778108421053 -0.611682302666667 -0.698717687719298 -0.984120641754386 -0.975412084736842 -0.964272651754386 -0.718204059719298 -0.698972426736842 -0.786085257368421 -0.763271724122807 -0.794093756140351 -0.722573601052632 -0.748567705877193 -0.841259202631579 -0.793164956491228 -0.690466586666667 -0.690466586666667 -0.707666356421053 -0.748196678829825 -0.833469125789474
"12" 12 "LAYING" 0.2836007575 -0.0208215747816667 -0.117676223833333 0.539643731833333 0.0696635265166667 0.17635628313 0.102557797033333 0.001377769038 -0.0161884009484833 -0.0765483427016667 -0.05863788719 0.0953335629216667 -0.103741639388333 -0.051191438536 -0.0480429657983333 -0.62980707813 -0.62980707813 -0.718091468516667 -0.687932827275 -0.8160396255 -0.650355036416667 -0.621878571351667 -0.697767452633333 -0.970842124666667 -0.960821227333333 -0.9634880585 -0.698225701133333 -0.70371761145 -0.801950494166667 -0.7830692925 -0.785471182 -0.7035528495 -0.803767663333333 -0.824062418166667 -0.7877654215 -0.638207982983333 -0.638207982983333 -0.697167719833333 -0.755081993666667 -0.817309520333333
"13" 13 "LAYING" 0.278287007580645 -0.0145989891177419 -0.109471249448387 0.628361892741935 -0.061808771483871 -0.0621140218548387 0.0547384959241935 0.0175935350254839 0.0172157357878387 -0.0278847288032258 -0.0587714358151613 0.0815978898709677 -0.0750425859516129 -0.0389881858156452 -0.0631939433103226 -0.571544484419355 -0.571544484419355 -0.670234129508064 -0.63217073516129 -0.791829363387097 -0.609846864483871 -0.563632636220968 -0.649431269677419 -0.975326083225806 -0.955373247096774 -0.947196131774194 -0.659285029409677 -0.641202872495161 -0.782294114516129 -0.719526872629032 -0.733635963709677 -0.667278847258065 -0.720223924629032 -0.832591937419355 -0.762502570322581 -0.613769678596774 -0.613769678596774 -0.668062046491935 -0.680878008733871 -0.807491516451613
"14" 14 "LAYING" 0.279565045294118 -0.0166215264294118 -0.114981251764706 0.699210307843137 -0.00923264302745098 0.0685783690764706 0.0486141238976471 0.0318246192 -0.0183850660741176 -0.053022633627451 -0.067772014345098 0.10990111435098 -0.0973515403470588 -0.0333117668607843 -0.0423118412078431 -0.48552082272549 -0.48552082272549 -0.636810707039216 -0.549672190262745 -0.771938261568627 -0.51869236472549 -0.497211214723529 -0.588041877509804 -0.971713246078431 -0.960245774705882 -0.93443113627451 -0.606269766990196 -0.595467823237255 -0.772419199019608 -0.663196620058824 -0.671255356666667 -0.632492486490196 -0.703525494705882 -0.817296288235294 -0.746688754117647 -0.538437778313726 -0.538437778313726 -0.604638261811765 -0.626007844582353 -0.795567997843137
"15" 15 "LAYING" 0.275661506791667 -0.0213446192501389 -0.107121526347222 0.761592591527778 0.0516612503277778 0.193941300526389 0.0841260557541667 0.0165827657886111 -0.02130918838875 -0.00694394501111111 -0.0976885490972222 0.0669538132847222 -0.103784189504028 -0.0566454107652778 -0.0681612179027778 -0.607118185861111 -0.607118185861111 -0.726477314430556 -0.605358801070833 -0.816980331944444 -0.659594785888889 -0.610395913247222 -0.614851997352778 -0.977168315277778 -0.96235554125 -0.944593277361111 -0.708996402125 -0.692164961391667 -0.815350123472222 -0.743320978652778 -0.637335054583333 -0.670336813388889 -0.793338908055556 -0.842398991666667 -0.794151033611111 -0.651374934319444 -0.651374934319444 -0.696579310791667 -0.668723328083333 -0.848270625833333
"16" 16 "LAYING" 0.273340154142857 -0.02047153491 -0.108994603185714 0.624904392428571 0.0585955164428571 0.152261812485714 0.0703435403462857 -0.00681840570985714 -0.0188708040791857 -0.0381738223371429 -0.0866431658 0.11407441497 -0.106306214842857 -0.0445968443871429 -0.0429240200428571 -0.541523199198571 -0.541523199198571 -0.6692164096 -0.548432448114286 -0.789116261 -0.598988126985714 -0.525735429882857 -0.561132032752857 -0.970493446428571 -0.947756053571429 -0.931701472142857 -0.636980129785714 -0.645002293732857 -0.787799134714286 -0.699910612494286 -0.611653922362857 -0.645228010357143 -0.738029469385714 -0.824428724285714 -0.778652457142857 -0.584134005114286 -0.584134005114286 -0.636595732771429 -0.628291289917143 -0.824528132714286
"17" 17 "LAYING" 0.279000325352113 -0.0194135024197183 -0.109405836938028 0.66939974971831 0.0620436833512958 0.169687753802113 0.0805128609521127 -0.0418515578732394 0.00989707171084507 -0.0499838043577465 -0.0585145108422535 0.10943766184507 -0.0882493574478873 -0.0455794833169014 -0.0724317454056338 -0.4736883647 -0.4736883647 -0.65397241684507 -0.447820441591549 -0.75117397 -0.55823395656338 -0.452363026240845 -0.464110374605634 -0.975961969295775 -0.957871776760563 -0.923369738028169 -0.633743435943662 -0.604671920038028 -0.758259385915493 -0.627531957323944 -0.487163329266197 -0.536806144394366 -0.734698625211268 -0.769367571830986 -0.728585845070423 -0.538066107 -0.538066107 -0.611145905112676 -0.530049497367606 -0.779616404929578
"18" 18 "LAYING" 0.292821341692308 -0.0177656300161538 -0.0941531838369231 0.859326681384615 -0.123181371830769 0.0285414261415385 0.0599201668 0.0249322872829231 -0.00532891490723077 -0.0573326790507692 -0.0512919909727538 0.0720946694353846 -0.0846897877276923 -0.0530884844923077 -0.0293749546369231 -0.293445826815385 -0.293445826815385 -0.474228926955385 -0.345551785221692 -0.651090473230769 -0.356110318904615 -0.301234817898462 -0.357477263815385 -0.968469254769231 -0.949491132153846 -0.923689701692308 -0.43598890898 -0.433948197076923 -0.637892737076923 -0.527590789984615 -0.416667709107692 -0.442988858661538 -0.585589127553846 -0.702696620153846 -0.609379394153846 -0.338963616441538 -0.338963616441538 -0.422156813815385 -0.442003502784615 -0.696909662153846
"19" 19 "LAYING" 0.282141871325301 -0.016214994586747 -0.110446639710843 0.489653253253012 0.109828178626506 0.269593636084819 0.0480834371807229 0.0239715185991566 -0.00255411641626506 -0.0260166454728916 -0.0744141920936145 0.104141654048193 -0.0740324088566265 -0.0439859445566265 -0.0506184875327711 -0.649086401062651 -0.649086401062651 -0.737855763795181 -0.674757290128916 -0.834914138554217 -0.683546015927711 -0.654556237053012 -0.688162047457831 -0.974618474337349 -0.965007820240964 -0.95153200373494 -0.728335757543374 -0.714683389987952 -0.812770177590361 -0.779018938795181 -0.749023152108434 -0.706907921722892 -0.822306360963855 -0.854342377349398 -0.80100708060241 -0.682497283192771 -0.682497283192771 -0.72304959793253 -0.738758681048193 -0.854469617228916
"20" 20 "LAYING" 0.276366603235294 -0.0148652597220588 -0.1095231898 0.596747275 -0.0185064153970588 0.0922715643676471 0.133270975239706 -0.00724079467647059 -0.0109065813861765 -0.0432658543401471 -0.0641531712573529 0.111001050926471 -0.0923421515088235 -0.0366312177308824 -0.0519953370220588 -0.476347615148529 -0.476347615148529 -0.567053160007353 -0.569355619911765 -0.717509376323529 -0.508366487191176 -0.482094639470588 -0.581151326514706 -0.967461730882353 -0.971986456323529 -0.953886388676471 -0.556337390370588 -0.527942797838235 -0.706271842352941 -0.693390107308824 -0.657217935294118 -0.586404769279412 -0.672730970617647 -0.753905944323529 -0.667293128088235 -0.536937419529412 -0.536937419529412 -0.563112201405882 -0.643666234558824 -0.740485520367647
"21" 21 "LAYING" 0.279891621777778 -0.0190727909445556 -0.110332307977778 0.638158787666667 -0.0648578298055556 0.0222194745444444 0.0787035603333333 0.0263406115185556 -0.0108962470517778 -0.0425779600397778 -0.0559516646088889 0.0850462832755556 -0.0969278571188889 -0.0417742500266667 -0.0497042467257778 -0.681528510776667 -0.681528510776667 -0.749025054133333 -0.714287412685556 -0.825094347777778 -0.7052985775 -0.668584544311111 -0.741072117455556 -0.978949591666667 -0.972038198777778 -0.958527763777778 -0.747190298222222 -0.716129943144444 -0.824972703666667 -0.802260998 -0.781425403633333 -0.746171057177778 -0.794426367464444 -0.842702879288889 -0.811569055888889 -0.689383460444444 -0.689383460444444 -0.742193120011111 -0.759136088444444 -0.835743533345556
"22" 22 "LAYING" 0.27251918875 -0.0187656556291667 -0.110366845295833 0.813820649583333 -0.07362744845 0.0733575273706944 0.0835574064277778 0.0201884338944444 0.0209933163005556 -0.0167538939886111 -0.0585381920958333 0.069334933175 -0.110434832770833 -0.0414414868472222 -0.0348780225680556 -0.535746534215278 -0.535746534215278 -0.650323059166667 -0.574917182106944 -0.774528211111111 -0.585183546694444 -0.507009447366667 -0.593739984902778 -0.979718398472222 -0.955871716666667 -0.9444486275 -0.633423602597222 -0.588458153494444 -0.766537587916667 -0.699310818215278 -0.651282862652778 -0.624790601152778 -0.708718148805556 -0.819181429861111 -0.750041309583333 -0.577628078361111 -0.577628078361111 -0.609937196527778 -0.633485735333333 -0.805996362777778
"23" 23 "LAYING" 0.273784473638889 -0.0188936281891667 -0.117661432951389 0.753074773611111 -0.0959445630416667 0.0800606133888889 0.108570967240278 0.00280427883472222 -0.0147318224316667 -0.0234615754902778 -0.0896102175583333 0.102280149895833 -0.0833499815694444 -0.0112021663552778 -0.0567868792958333 -0.469294554680556 -0.469294554680556 -0.605211185875 -0.489027776833333 -0.743379750083333 -0.530802882055556 -0.470051125487639 -0.501309143865278 -0.971667705555556 -0.956392496805556 -0.924116232916667 -0.567863495831944 -0.568881602555278 -0.740124242083333 -0.672715826805556 -0.526446723119444 -0.585926752451389 -0.688484536805556 -0.783182405 -0.724167017638889 -0.527813190458333 -0.527813190458333 -0.556320540652778 -0.572108912152778 -0.780903069583333
"24" 24 "LAYING" 0.270727564208333 -0.0204685033138889 -0.114277899805556 0.689195167083333 0.00451997080555555 0.155085892486222 0.0700417208611111 0.0156206261384722 0.0103135470680556 -0.0746043605 -0.0409602457611111 0.0733666569444444 -0.0924543098111111 -0.0480600956944444 -0.0591197650666667 -0.656639767027778 -0.656639767027778 -0.742062879236111 -0.693022234555556 -0.838663926944444 -0.689066427777778 -0.660814605388889 -0.696952653263889 -0.975508852222222 -0.960424089027778 -0.946196174027778 -0.726889039302778 -0.716919139944444 -0.837806882361111 -0.786449201166667 -0.758525925 -0.716959771986111 -0.788605377083333 -0.869825136388889 -0.806160023888889 -0.687140276375 -0.687140276375 -0.73653634075 -0.748210718611111 -0.851201399722222
"25" 25 "LAYING" 0.27703703 -0.0157860167741096 -0.111887270808219 0.510447748493151 0.0967148544520548 0.146455999543836 0.0731678040452055 0.0113037474245206 -0.00220508507473973 -0.0185332247716438 -0.0843628479726027 0.0950875203972603 -0.112672925845205 -0.0542747226917808 -0.040148299630137 -0.606782568450411 -0.606782568450411 -0.704934022493151 -0.632124282654794 -0.807594905753425 -0.65470660260274 -0.602704170479452 -0.622251042041096 -0.978936823972603 -0.970339083835616 -0.948908797260274 -0.693469513986301 -0.665970053765753 -0.790998026575342 -0.752281106450685 -0.652525135383562 -0.672291848958904 -0.78680251890411 -0.828436038767123 -0.781847360547945 -0.652532895232877 -0.652532895232877 -0.676372587326027 -0.674027685315069 -0.83142394260274
"26" 26 "LAYING" 0.266651023026316 -0.0139640444064342 -0.0980800123565789 0.689498560921053 0.0422872435 0.162585135493816 0.0616074923671053 0.0186354880578947 -0.0024447921881579 -0.022774315125 -0.06893753103 0.0962365794269737 -0.101362329936842 -0.0507970540263158 -0.0513202041760263 -0.521407405507895 -0.521407405507895 -0.659437892947368 -0.589055054643421 -0.766008451184211 -0.55337829225 -0.489536451719737 -0.654680702894737 -0.964323437368421 -0.949564024605263 -0.930632559605263 -0.651451690031579 -0.612676416671053 -0.778144589342105 -0.664263499907895 -0.721958148026316 -0.666552843421053 -0.674766207267105 -0.816304363421053 -0.749047824868421 -0.542908648909211 -0.542908648909211 -0.648603771052632 -0.655812561715789 -0.787216286184211
"27" 27 "LAYING" 0.265297597878378 -0.0108690139352703 -0.102535888124324 0.682409282027027 0.0606521377027027 0.190697600975135 0.0937278206756757 -0.000307239690270271 0.00332819211013514 0.00309713656486487 -0.0900970000013513 0.0953568395135135 -0.1066496345 -0.0426574051756757 -0.0637589187567568 -0.737452136337838 -0.737452136337838 -0.82653468822973 -0.779581333337838 -0.883030790135135 -0.770985885283784 -0.710697763 -0.795470643243243 -0.966740394189189 -0.958463029054054 -0.952804882027027 -0.820500058581081 -0.801762054824324 -0.885288042297297 -0.827518502972973 -0.851788538783784 -0.805888273243243 -0.834735182297297 -0.911222956081081 -0.868690836351351 -0.743320566648649 -0.743320566648649 -0.81605147072973 -0.807639566644595 -0.894813106891892
"28" 28 "LAYING" 0.2768176805 -0.02176731647075 -0.10844897177875 0.412462264875 0.11003626915 0.206795826716 0.0774774899225 0.005079949437625 -0.00771746523525 0.004356055895 -0.08204386215 0.09408269104375 -0.1029310255025 -0.048783729685375 -0.049724631852125 -0.71209415135 -0.71209415135 -0.796120677125 -0.7467108876375 -0.873326085375 -0.74277010792125 -0.69471007803 -0.7555134590875 -0.969893697625 -0.970420559 -0.96202505225 -0.78567148829125 -0.784641295125 -0.861641577375 -0.830648758025 -0.8316218824625 -0.761419912575 -0.849191762125 -0.89313090175 -0.85687570875 -0.74699501070375 -0.74699501070375 -0.7904464092625 -0.79328740269125 -0.89364439425
"29" 29 "LAYING" 0.275527539855072 -0.0158146700998551 -0.10866568257971 0.820388604927536 -0.0299887498115942 0.111719204080725 0.0778062385652174 -0.0125365865536232 -0.0195891681315942 -0.0603573720057971 -0.047478165026087 0.147800798837681 -0.0954995506257971 -0.051424047573913 -0.0686336710072464 -0.478955348188406 -0.478955348188406 -0.600431143101449 -0.596374111014493 -0.747046657971014 -0.524224991753623 -0.460742250695652 -0.589359607811594 -0.972793705942029 -0.944022504391304 -0.936513455797101 -0.58450793684058 -0.586970851505812 -0.713163047826087 -0.722652302898551 -0.732847573768116 -0.613414865507246 -0.688914402028985 -0.788750882608696 -0.71244112884058 -0.535156936333333 -0.535156936333333 -0.587862994246377 -0.691006654492754 -0.778428520434783
"30" 30 "LAYING" 0.276183452714286 -0.0185102511465714 -0.11234982379 0.590060690714286 0.0901447217285714 0.226237422001913 0.0712593692757143 -0.0162378747514286 -0.00472313886385714 -0.0550528235371429 -0.0797002049285714 0.0846747656828571 -0.0896227296714286 -0.0330456761792857 -0.0559203078274286 -0.674443942202429 -0.674443942202429 -0.770995948014286 -0.712176415185714 -0.839787734142857 -0.709245290942857 -0.651399672228571 -0.735501434185714 -0.985641356285714 -0.973308701428571 -0.959222610714286 -0.771172405671429 -0.731874849114286 -0.838294108 -0.753072474457143 -0.784973529142857 -0.774310774414286 -0.774212263157143 -0.874041703 -0.819799271857143 -0.704940725671429 -0.704940725671429 -0.756135558812857 -0.7479282267 -0.846360896285714
"31" 1 "SITTING" 0.276417868510638 -0.0245985319906383 -0.111163239897872 0.854724537659574 -0.0975098408297872 -0.167370793425532 0.0658563669 0.0131803458617021 0.0513879755808511 0.0312429384846808 -0.0812774917297872 0.0325367139787234 -0.113836681887234 -0.0361542917255319 -0.0734631970978723 -0.40989389087234 -0.40989389087234 -0.535093193085106 -0.509933011680851 -0.705533358212766 -0.507090910425532 -0.399805284331915 -0.363968082404255 -0.974086274680851 -0.967005242340426 -0.944305497659574 -0.544537923425532 -0.518074402446808 -0.636629058510638 -0.683996116489362 -0.595310465212766 -0.498843982978723 -0.739127329148936 -0.724699058361702 -0.656485265170213 -0.478191117914894 -0.478191117914894 -0.527459829085106 -0.632949403680851 -0.741465590425532
"32" 2 "SITTING" 0.28046175173913 -0.0166198583130435 -0.103538799126087 0.724540919869565 -0.120208739347826 -0.0121046950652174 0.0594776306304348 0.0369241739082609 -0.00434195865021739 -0.0287315661532609 -0.0871238770130435 0.0541928422782609 -0.117674603980435 -0.0454417557876087 -0.0381412120434783 -0.540266837647826 -0.540266837647826 -0.68700480523913 -0.628862666173913 -0.808458693478261 -0.607495978956522 -0.541766680608696 -0.567758723456522 -0.969764780217391 -0.954887610434783 -0.94382075173913 -0.6707193655 -0.692699418 -0.759209180652174 -0.758339774282609 -0.695596227826087 -0.62246748126087 -0.824747627173913 -0.814040233695652 -0.793976774130435 -0.593314422130435 -0.593314422130435 -0.663886291934783 -0.697080126956522 -0.830877994130435
"33" 3 "SITTING" 0.275641022884615 -0.0144881695557692 -0.09898152725 0.670658151634615 -0.0112463626846154 -0.0713661016192308 0.0728681749230769 0.00145086655019231 0.0193705287125 -0.0131829522103846 -0.0800141785711539 0.0712736728846154 -0.108120252980769 -0.0515400422692308 -0.0402267837846154 -0.500191412807692 -0.500191412807692 -0.625932980878846 -0.506147040019231 -0.742071016038462 -0.609699769784615 -0.440883348661538 -0.433239428519231 -0.969398491538462 -0.951862938269231 -0.932949636538462 -0.638921022809615 -0.579710426269231 -0.70873638675 -0.7209076665 -0.524232642736538 -0.495802875426923 -0.784501825961539 -0.745555431596154 -0.689133232519231 -0.525452827673077 -0.525452827673077 -0.605963869192308 -0.564078442576923 -0.755261022096154
"34" 4 "SITTING" 0.26917595334 -0.02457656008 -0.10200253436 0.68117369664 -0.002528237484 0.049059557694 0.0880873393142 0.0013475851022 -0.061253141012 0.008800003065 -0.089482949168 0.087404775804 -0.099495143114 -0.052348704902 -0.10154259124 -0.55991833792 -0.55991833792 -0.66691249582 -0.56936790182 -0.76976489806 -0.66647093134 -0.4746251066 -0.54926078866 -0.93867914912 -0.9450911946 -0.90098508614 -0.6876337814 -0.62923765168 -0.7597656933 -0.759727730484 -0.62577272884 -0.57481493297 -0.77442265858 -0.77277374774 -0.7763488926 -0.62847775334 -0.62847775334 -0.689135030568 -0.635437562836 -0.7938874854
